Game ID,Rental Date,Return Date,Rented Customer ID
cod01,10/02/2015,11/02/2015,coai
dark02,16/02/2015,20/02/2015,mnop
doom01,07/03/2015,14/03/2015,efgh
elde02,30/04/2015,09/05/2015,coai
dark01,17/05/2015,04/06/2015,coai
cod01,02/06/2015,30/06/2015,ijkl
fort02,02/06/2015,09/06/2015,mnop
mine02,08/07/2015,20/07/2015,efgh
fifa02,01/08/2015,07/08/2015,wfrb
cod02,13/08/2015,12/09/2015,mnop
doom02,17/08/2015,28/08/2015,efgh
dark01,26/08/2015,22/09/2015,efgh
fifa02,28/08/2015,10/09/2015,wfrb
fifa01,31/08/2015,13/09/2015,efgh
mine02,12/09/2015,10/10/2015,coai
over01,25/11/2015,15/12/2015,mnop
halo01,29/11/2015,06/12/2015,coai
assa01,16/01/2016,20/01/2016,wfrb
mine01,10/02/2016,12/02/2016,wfrb
fifa01,20/02/2016,28/02/2016,mnop
elde02,24/02/2016,22/03/2016,coai
dark01,07/03/2016,05/04/2016,ijkl
fort02,19/03/2016,20/03/2016,coai
over02,08/04/2016,15/04/2016,ijkl
assa02,17/04/2016,24/04/2016,mnop
fifa01,28/04/2016,30/04/2016,coai
mine02,30/04/2016,21/05/2016,mnop
over02,01/05/2016,24/05/2016,efgh
fort01,04/06/2016,27/06/2016,mnop
mine01,17/06/2016,20/06/2016,wfrb
cod01,24/06/2016,09/07/2016,coai
cod01,20/07/2016,28/07/2016,efgh
elde02,11/08/2016,12/08/2016,wfrb
mine01,27/08/2016,18/09/2016,mnop
fort02,01/10/2016,17/10/2016,ijkl
fort02,11/10/2016,19/10/2016,mnop
assa02,17/11/2016,07/12/2016,coai
cod02,21/01/2017,30/01/2017,mnop
mine01,23/01/2017,02/02/2017,mnop
doom01,25/01/2017,21/02/2017,mnop
halo02,01/02/2017,03/03/2017,wfrb
dark01,15/02/2017,18/02/2017,efgh
mine01,18/02/2017,28/02/2017,ijkl
elde01,18/02/2017,27/02/2017,coai
mine01,07/03/2017,09/03/2017,mnop
assa01,19/03/2017,16/04/2017,efgh
cod02,21/04/2017,01/05/2017,efgh
mine01,01/05/2017,07/05/2017,wfrb
cod01,19/05/2017,03/06/2017,ijkl
over01,21/05/2017,01/06/2017,coai
halo02,27/05/2017,01/06/2017,ijkl
elde01,31/05/2017,02/06/2017,ijkl
halo01,01/06/2017,25/06/2017,ijkl
halo02,02/06/2017,18/06/2017,ijkl
doom01,10/06/2017,02/07/2017,coai
over02,16/06/2017,12/07/2017,efgh
mine01,05/08/2017,18/08/2017,ijkl
fifa01,07/08/2017,19/08/2017,efgh
dark01,18/08/2017,10/09/2017,ijkl
over01,19/08/2017,12/09/2017,ijkl
elde01,28/08/2017,24/09/2017,wfrb
elde01,21/10/2017,01/11/2017,mnop
assa01,08/11/2017,26/11/2017,mnop
fort01,10/11/2017,17/11/2017,mnop
dark02,18/11/2017,11/12/2017,coai
elde02,23/11/2017,20/12/2017,efgh
assa01,25/11/2017,26/11/2017,ijkl
cod02,23/12/2017,25/12/2017,wfrb
elde02,12/01/2018,04/02/2018,coai
cod01,17/01/2018,24/01/2018,ijkl
elde01,20/02/2018,27/02/2018,coai
dark02,03/03/2018,05/03/2018,mnop
fort01,19/03/2018,17/04/2018,wfrb
cod02,15/04/2018,25/04/2018,wfrb
assa02,29/04/2018,11/05/2018,ijkl
assa02,26/05/2018,31/05/2018,ijkl
dark01,14/06/2018,24/06/2018,mnop
over01,16/06/2018,11/07/2018,coai
over01,19/06/2018,07/07/2018,wfrb
fifa02,24/06/2018,15/07/2018,ijkl
dark02,27/06/2018,22/07/2018,ijkl
doom01,08/07/2018,16/07/2018,coai
cod02,23/07/2018,19/08/2018,mnop
assa02,24/07/2018,28/07/2018,mnop
doom02,09/08/2018,01/09/2018,ijkl
elde01,13/08/2018,17/08/2018,efgh
doom02,23/08/2018,01/09/2018,mnop
fifa02,28/08/2018,21/09/2018,wfrb
cod01,11/09/2018,18/09/2018,coai
dark02,20/09/2018,17/10/2018,efgh
mine02,10/10/2018,22/10/2018,ijkl
assa01,28/11/2018,08/12/2018,wfrb
fort02,31/12/2018,27/01/2019,efgh
dark02,20/01/2019,23/01/2019,mnop
fort01,04/05/2019,01/06/2019,ijkl
cod02,08/05/2019,20/05/2019,wfrb
cod01,10/05/2019,19/05/2019,efgh
fifa02,02/06/2019,06/06/2019,ijkl
assa02,13/06/2019,28/06/2019,efgh
assa01,23/06/2019,19/07/2019,mnop
fifa01,24/06/2019,10/07/2019,efgh
assa02,01/07/2019,15/07/2019,mnop
